City,Suburb,"Sales
1Q 2014","Median
1Q 2014","Sales
1Q 2015","Median
1Q 2015","Median
Change"
GAWLER              ,EVANSTON GARDENS     ,6,300000,7,292000,-0.0267
GAWLER              ,EVANSTON PARK        ,20,364500,21,330000,-0.0947
GAWLER              ,EVANSTON SOUTH       ,,,2,417000,
GAWLER              ,GAWLER               ,2,320000,1,325000,0.0156
GAWLER              ,GAWLER EAST          ,24,347500,20,355000,0.0216
GAWLER              ,GAWLER SOUTH         ,11,326000,14,276000,-0.1534
GAWLER              ,GAWLER WEST          ,4,247500,2,206250,-0.1667
GAWLER              ,HILLIER              ,,,,,
GAWLER              ,KUDLA                ,,,,,
GAWLER              ,REID                 ,1,325000,2,355000,0.0923
GAWLER              ,ULEYBURY             ,,,,,
GAWLER              ,WILLASTON            ,22,271975,17,310000,0.1398
HOLDFAST BAY        ,BRIGHTON             ,11,585000,17,855000,0.4615
HOLDFAST BAY        ,GLENELG              ,4,842500,4,948750,0.1261
HOLDFAST BAY        ,GLENELG EAST         ,8,612500,9,650000,0.0612
HOLDFAST BAY        ,GLENELG NORTH        ,21,645000,19,552000,-0.1442
HOLDFAST BAY        ,GLENELG SOUTH        ,6,815250,2,610000,-0.2518
HOLDFAST BAY        ,HOVE                 ,10,630000,8,683250,0.0845
HOLDFAST BAY        ,KINGSTON PARK        ,,,1,600000,
HOLDFAST BAY        ,NORTH BRIGHTON       ,8,627500,8,560500,-0.1068
HOLDFAST BAY        ,SEACLIFF             ,9,665000,6,755750,0.1365
HOLDFAST BAY        ,SEACLIFF PARK        ,14,491500,16,515000,0.0478
HOLDFAST BAY        ,SOMERTON PARK        ,16,750000,31,712500,-0.05
HOLDFAST BAY        ,SOUTH BRIGHTON       ,2,552250,8,508500,-0.0792
MARION              ,ASCOT PARK           ,12,392500,7,405000,0.0318
MARION              ,BEDFORD PARK         ,2,477500,6,416500,-0.1277
MARION              ,CLOVELLY PARK        ,10,422000,14,486500,0.1528
MARION              ,DARLINGTON           ,3,395000,6,477500,0.2089
MARION              ,DOVER GARDENS        ,11,457500,19,450000,-0.0164
MARION              ,EDWARDSTOWN          ,10,433000,16,432500,-0.0012
MARION              ,GLANDORE             ,6,618000,7,585000,-0.0534
MARION              ,GLENGOWRIE           ,15,602000,21,571000,-0.0515
MARION              ,HALLETT COVE         ,50,451875,56,430000,-0.0484
MARION              ,MARINO               ,8,526250,20,710500,0.3501
MARION              ,MARION               ,8,453000,17,472250,0.0425
MARION              ,MITCHELL PARK        ,18,415000,18,416000,0.0024
MARION              ,MORPHETTVILLE        ,8,417500,9,482000,0.1545
MARION              ,OAKLANDS PARK        ,16,447000,11,433500,-0.0302
MARION              ,O'HALLORAN HILL      ,12,350000,11,352300,0.0066
MARION              ,PARK HOLME           ,5,480000,5,425000,-0.1146
MARION              ,PLYMPTON PARK        ,7,508647,9,490250,-0.0362
MARION              ,SEACLIFF PARK        ,14,491500,16,515000,0.0478
MARION              ,SEACOMBE GARDENS     ,15,427000,8,426500,-0.0012
MARION              ,SEACOMBE HEIGHTS     ,6,450000,8,480000,0.0667
MARION              ,SEAVIEW DOWNS        ,10,500000,11,460000,-0.08
MARION              ,SHEIDOW PARK         ,22,402500,32,411000,0.0211
MARION              ,SOUTH PLYMPTON       ,13,444500,15,445000,0.0011
MARION              ,STURT                ,7,390000,14,396500,0.0167
MARION              ,TROTT PARK           ,16,351250,11,350000,-0.0036
MARION              ,WARRADALE            ,21,471000,21,512500,0.0881
MITCHAM             ,BEDFORD PARK         ,2,477500,6,416500,-0.1277
MITCHAM             ,BELAIR               ,8,532500,18,595000,0.1174
MITCHAM             ,BELLEVUE HEIGHTS     ,11,515000,5,450000,-0.1262
MITCHAM             ,BLACKWOOD            ,12,472000,21,530000,0.1229
MITCHAM             ,BROWN HILL CREEK     ,,,,,
MITCHAM             ,CLAPHAM              ,3,789000,8,592500,-0.249
MITCHAM             ,CLARENCE GARDENS     ,4,527610,8,555500,0.0529
MITCHAM             ,COLONEL LIGHT GARDENS,11,587500,9,615000,0.0468
MITCHAM             ,COROMANDEL VALLEY    ,13,518500,20,467500,-0.0984
MITCHAM             ,CRAFERS WEST         ,3,590000,3,577000,-0.022
MITCHAM             ,CRAIGBURN FARM       ,11,715000,7,642500,-0.1014
MITCHAM             ,CUMBERLAND PARK      ,9,562000,7,643500,0.145
MITCHAM             ,DAW PARK             ,7,485000,7,535000,0.1031
MITCHAM             ,EDEN HILLS           ,13,455000,8,490000,0.0769
MITCHAM             ,GLENALTA             ,11,460000,5,470500,0.0228
MITCHAM             ,HAWTHORN             ,6,1122500,9,827450,-0.2629
MITCHAM             ,HAWTHORNDENE         ,8,459250,11,434000,-0.055
MITCHAM             ,KINGSWOOD            ,13,912000,8,1080000,0.1842
MITCHAM             ,LEAWOOD GARDENS      ,,,,,
MITCHAM             ,LOWER MITCHAM        ,13,645500,5,721500,0.1177
MITCHAM             ,LYNTON               ,,,1,690000,
MITCHAM             ,MELROSE PARK         ,6,540000,6,547500,0.0139
MITCHAM             ,MITCHAM              ,12,670000,8,650000,-0.0299
MITCHAM             ,NETHERBY             ,10,1040000,4,1145000,0.101
MITCHAM             ,PANORAMA             ,7,628000,5,541000,-0.1385
MITCHAM             ,PASADENA             ,6,611000,9,482500,-0.2103
MITCHAM             ,SPRINGFIELD          ,2,1120000,,,
MITCHAM             ,ST.MARYS             ,8,381250,9,370000,-0.0295
MITCHAM             ,TORRENS PARK         ,7,717500,10,765000,0.0662
MITCHAM             ,UPPER STURT          ,1,370000,4,500000,0.3514
MITCHAM             ,URRBRAE              ,6,650000,4,1150000,0.7692
MITCHAM             ,WESTBOURNE PARK      ,7,700000,6,680000,-0.0286
MOUNT BARKER        ,BALHANNAH            ,1,335000,9,439000,0.3104
MOUNT BARKER        ,BIGGS FLAT           ,,,,,
MOUNT BARKER        ,BLAKISTON            ,,,,,
