City,2015 Sales,2015 Median Price
ONKAPARINGA         ,NOARLUNGA DOWNS      ,10.0,325000.0
ONKAPARINGA         ,O'HALLORAN HILL      ,11.0,352300.0
ONKAPARINGA         ,OLD NOARLUNGA        ,7.0,582500.0
ONKAPARINGA         ,OLD REYNELLA         ,7.0,340000.0
ONKAPARINGA         ,ONKAPARINGA HILLS    ,2.0,496000.0
ONKAPARINGA         ,O'SULLIVAN BEACH     ,9.0,270000.0
ONKAPARINGA         ,PORT NOARLUNGA       ,16.0,376000.0
ONKAPARINGA         ,PORT NOARLUNGA SOUTH ,10.0,450000.0
ONKAPARINGA         ,PORT WILLUNGA        ,17.0,330000.0
ONKAPARINGA         ,REYNELLA             ,19.0,318750.0
ONKAPARINGA         ,REYNELLA EAST        ,7.0,303000.0
ONKAPARINGA         ,SEAFORD              ,17.0,326000.0
ONKAPARINGA         ,SEAFORD MEADOWS      ,16.0,380000.0
ONKAPARINGA         ,SEAFORD RISE         ,24.0,406250.0
ONKAPARINGA         ,SELLICKS BEACH       ,18.0,291250.0
ONKAPARINGA         ,WILLUNGA             ,10.0,447500.0
ONKAPARINGA         ,WOODCROFT            ,33.0,400000.0
PLAYFORD            ,ANDREWS FARM         ,32.0,290000.0
PLAYFORD            ,ANGLE VALE           ,7.0,525000.0
PLAYFORD            ,BLAKEVIEW            ,33.0,290000.0
PLAYFORD            ,CRAIGMORE            ,46.0,274000.0
PLAYFORD            ,DAVOREN PARK         ,17.0,184950.0
PLAYFORD            ,ELIZABETH DOWNS      ,13.0,176000.0
PLAYFORD            ,ELIZABETH EAST       ,20.0,213725.0
PLAYFORD            ,ELIZABETH GROVE      ,3.0,239000.0
PLAYFORD            ,ELIZABETH NORTH      ,10.0,167000.0
PLAYFORD            ,ELIZABETH PARK       ,15.0,186000.0
PLAYFORD            ,ELIZABETH SOUTH      ,3.0,155000.0
PLAYFORD            ,ELIZABETH VALE       ,14.0,225000.0
PLAYFORD            ,EVANSTON PARK        ,21.0,330000.0
PLAYFORD            ,HILLBANK             ,13.0,306000.0
PLAYFORD            ,MUNNO PARA           ,11.0,280000.0
PLAYFORD            ,MUNNO PARA WEST      ,25.0,298750.0
PLAYFORD            ,ONE TREE HILL        ,1.0,590350.0
PLAYFORD            ,SMITHFIELD           ,7.0,277500.0
PLAYFORD            ,SMITHFIELD PLAINS    ,5.0,216000.0
PLAYFORD            ,VIRGINIA             ,2.0,480000.0
PORT ADEL ENFIELD   ,ALBERTON             ,4.0,387500.0
PORT ADEL ENFIELD   ,ANGLE PARK           ,4.0,388750.0
PORT ADEL ENFIELD   ,BIRKENHEAD           ,13.0,372500.0
PORT ADEL ENFIELD   ,BLAIR ATHOL          ,16.0,400000.0
PORT ADEL ENFIELD   ,BROADVIEW            ,19.0,505000.0
PORT ADEL ENFIELD   ,CLEARVIEW            ,27.0,375000.0
PORT ADEL ENFIELD   ,CROYDON PARK         ,3.0,372500.0
PORT ADEL ENFIELD   ,DERNANCOURT          ,12.0,427500.0
PORT ADEL ENFIELD   ,DEVON PARK           ,2.0,460000.0
PORT ADEL ENFIELD   ,ENFIELD              ,17.0,385000.0
PORT ADEL ENFIELD   ,ETHELTON             ,6.0,432500.0
PORT ADEL ENFIELD   ,EXETER               ,3.0,495000.0
PORT ADEL ENFIELD   ,FERRYDEN PARK        ,11.0,438000.0
PORT ADEL ENFIELD   ,GEPPS CROSS          ,1.0,340000.0
PORT ADEL ENFIELD   ,GILLES PLAINS        ,12.0,355000.0
PORT ADEL ENFIELD   ,GLANVILLE            ,5.0,280000.0
PORT ADEL ENFIELD   ,GREENACRES           ,18.0,389000.0
PORT ADEL ENFIELD   ,HAMPSTEAD GARDENS    ,4.0,470000.0
PORT ADEL ENFIELD   ,HILLCREST            ,8.0,390000.0
PORT ADEL ENFIELD   ,HOLDEN HILL          ,8.0,299000.0
PORT ADEL ENFIELD   ,KILBURN              ,13.0,350000.0
PORT ADEL ENFIELD   ,KLEMZIG              ,17.0,484000.0
PORT ADEL ENFIELD   ,LARGS BAY            ,15.0,560000.0
PORT ADEL ENFIELD   ,LARGS NORTH          ,14.0,375000.0
PORT ADEL ENFIELD   ,MANNINGHAM           ,7.0,530000.0
PORT ADEL ENFIELD   ,MANSFIELD PARK       ,6.0,390500.0
PORT ADEL ENFIELD   ,NORTH HAVEN          ,22.0,457500.0
PORT ADEL ENFIELD   ,NORTHFIELD           ,13.0,395000.0
PORT ADEL ENFIELD   ,NORTHGATE            ,19.0,492500.0
PORT ADEL ENFIELD   ,OAKDEN               ,8.0,430000.0
PORT ADEL ENFIELD   ,OSBORNE              ,9.0,330000.0
PORT ADEL ENFIELD   ,OTTOWAY              ,9.0,283000.0
PORT ADEL ENFIELD   ,PETERHEAD            ,7.0,355000.0
PORT ADEL ENFIELD   ,PORT ADELAIDE        ,1.0,315000.0
PORT ADEL ENFIELD   ,QUEENSTOWN           ,6.0,402500.0
PORT ADEL ENFIELD   ,ROSEWATER            ,11.0,320000.0
PORT ADEL ENFIELD   ,SEFTON PARK          ,2.0,672500.0
PORT ADEL ENFIELD   ,SEMAPHORE            ,11.0,475000.0
PORT ADEL ENFIELD   ,SEMAPHORE SOUTH      ,4.0,482500.0
PORT ADEL ENFIELD   ,TAPEROO              ,4.0,375000.0
PORT ADEL ENFIELD   ,VALLEY VIEW          ,20.0,353000.0
PORT ADEL ENFIELD   ,WALKLEY HEIGHTS      ,7.0,507000.0
PORT ADEL ENFIELD   ,WINDSOR GARDENS      ,20.0,414000.0
PORT ADEL ENFIELD   ,WINGFIELD            ,2.0,295000.0
PORT ADEL ENFIELD   ,WOODVILLE GARDENS    ,2.0,370000.0
PROSPECT            ,BROADVIEW            ,19.0,505000.0
PROSPECT            ,COLLINSWOOD          ,5.0,750000.0
PROSPECT            ,FITZROY              ,3.0,1320000.0
PROSPECT            ,MEDINDIE GARDENS     ,1.0,1060000.0
PROSPECT            ,NAILSWORTH           ,5.0,565000.0
PROSPECT            ,OVINGHAM             ,3.0,470000.0
PROSPECT            ,PROSPECT             ,36.0,555000.0
PROSPECT            ,SEFTON PARK          ,2.0,672500.0
PROSPECT            ,THORNGATE            ,2.0,1725000.0
SALISBURY           ,BRAHMA LODGE         ,9.0,235000.0
SALISBURY           ,BURTON               ,27.0,288000.0
SALISBURY           ,DIREK                ,10.0,316000.0
SALISBURY           ,ELIZABETH VALE       ,14.0,225000.0
SALISBURY           ,GOLDEN GROVE         ,24.0,464000.0
SALISBURY           ,GREEN FIELDS         ,1.0,320000.0
SALISBURY           ,GULFVIEW HEIGHTS     ,11.0,580000.0
SALISBURY           ,INGLE FARM           ,36.0,307000.0
SALISBURY           ,MAWSON LAKES         ,48.0,450000.0
SALISBURY           ,PARA HILLS           ,19.0,305000.0
SALISBURY           ,PARA HILLS WEST      ,9.0,319100.0
SALISBURY           ,PARA VISTA           ,9.0,349000.0
SALISBURY           ,PARAFIELD GARDENS    ,49.0,300000.0
SALISBURY           ,PARALOWIE            ,46.0,288750.0
SALISBURY           ,POORAKA              ,24.0,327000.0
SALISBURY           ,SALISBURY            ,21.0,267000.0
SALISBURY           ,SALISBURY DOWNS      ,13.0,270500.0
SALISBURY           ,SALISBURY EAST       ,23.0,269500.0
SALISBURY           ,SALISBURY HEIGHTS    ,9.0,449000.0
SALISBURY           ,SALISBURY NORTH      ,30.0,253500.0
SALISBURY           ,SALISBURY PARK       ,7.0,266000.0
SALISBURY           ,SALISBURY PLAIN      ,5.0,285000.0
SALISBURY           ,VALLEY VIEW          ,20.0,353000.0
SALISBURY           ,WALKLEY HEIGHTS      ,7.0,507000.0
TEA TREE GULLY      ,BANKSIA PARK         ,10.0,380000.0
TEA TREE GULLY      ,DERNANCOURT          ,12.0,427500.0
TEA TREE GULLY      ,FAIRVIEW PARK        ,18.0,387000.0
TEA TREE GULLY      ,GILLES PLAINS        ,12.0,355000.0
TEA TREE GULLY      ,GOLDEN GROVE         ,24.0,464000.0
TEA TREE GULLY      ,GREENWITH            ,35.0,407000.0
TEA TREE GULLY      ,HIGHBURY             ,24.0,514000.0
TEA TREE GULLY      ,HOLDEN HILL          ,8.0,299000.0
TEA TREE GULLY      ,HOPE VALLEY          ,19.0,366500.0
TEA TREE GULLY      ,MODBURY              ,11.0,320000.0
TEA TREE GULLY      ,MODBURY HEIGHTS      ,24.0,359000.0
TEA TREE GULLY      ,MODBURY NORTH        ,23.0,375000.0
TEA TREE GULLY      ,PARA HILLS           ,19.0,305000.0
TEA TREE GULLY      ,REDWOOD PARK         ,13.0,372500.0
TEA TREE GULLY      ,RIDGEHAVEN           ,10.0,354000.0
TEA TREE GULLY      ,SALISBURY EAST       ,23.0,269500.0
TEA TREE GULLY      ,SALISBURY HEIGHTS    ,9.0,449000.0
TEA TREE GULLY      ,ST.AGNES             ,6.0,394875.0
TEA TREE GULLY      ,SURREY DOWNS         ,24.0,343000.0
TEA TREE GULLY      ,TEA TREE GULLY       ,15.0,375000.0
TEA TREE GULLY      ,VALLEY VIEW          ,20.0,353000.0
TEA TREE GULLY      ,VISTA                ,5.0,329000.0
TEA TREE GULLY      ,WYNN VALE            ,22.0,427750.0
TEA TREE GULLY      ,YATALA VALE          ,1.0,400000.0
UNLEY               ,BLACK FOREST         ,2.0,685250.0
UNLEY               ,CLARENCE PARK        ,5.0,561000.0
UNLEY               ,EVERARD PARK         ,1.0,570000.0
UNLEY               ,FORESTVILLE          ,3.0,695000.0
UNLEY               ,FULLARTON            ,10.0,771500.0
UNLEY               ,GOODWOOD             ,6.0,686500.0
UNLEY               ,HIGHGATE             ,6.0,935000.0
UNLEY               ,HYDE PARK            ,12.0,1100000.0
UNLEY               ,KESWICK              ,2.0,580250.0
UNLEY               ,KINGS PARK           ,2.0,842500.0
UNLEY               ,MALVERN              ,5.0,1385000.0
UNLEY               ,MILLSWOOD            ,9.0,890000.0
UNLEY               ,MYRTLE BANK          ,5.0,680000.0
UNLEY               ,PARKSIDE             ,15.0,876000.0
UNLEY               ,UNLEY                ,10.0,950000.0
UNLEY               ,UNLEY PARK           ,5.0,2170000.0
UNLEY               ,WAYVILLE             ,3.0,946000.0
WALKERVILLE         ,GILBERTON            ,5.0,985000.0
WALKERVILLE         ,MEDINDIE             ,4.0,1627500.0
WALKERVILLE         ,VALE PARK            ,11.0,755000.0
WALKERVILLE         ,WALKERVILLE          ,4.0,970000.0
WEST TORRENS        ,BROOKLYN PARK        ,14.0,512500.0
WEST TORRENS        ,CAMDEN PARK          ,5.0,422500.0
WEST TORRENS        ,COWANDILLA           ,4.0,418500.0
WEST TORRENS        ,FULHAM               ,9.0,715000.0
WEST TORRENS        ,GLANDORE             ,7.0,585000.0
WEST TORRENS        ,GLENELG NORTH        ,19.0,552000.0
WEST TORRENS        ,HILTON               ,2.0,450500.0
WEST TORRENS        ,KESWICK              ,2.0,580250.0
WEST TORRENS        ,KURRALTA PARK        ,3.0,465000.0
WEST TORRENS        ,LOCKLEYS             ,18.0,583000.0
WEST TORRENS        ,MARLESTON            ,5.0,480000.0
WEST TORRENS        ,MILE END             ,4.0,806250.0
WEST TORRENS        ,NETLEY               ,4.0,450000.0
WEST TORRENS        ,NORTH PLYMPTON       ,16.0,475250.0
WEST TORRENS        ,NOVAR GARDENS        ,13.0,568000.0
WEST TORRENS        ,PLYMPTON             ,13.0,495000.0
WEST TORRENS        ,RICHMOND             ,14.0,492500.0
WEST TORRENS        ,THEBARTON            ,2.0,452500.0
WEST TORRENS        ,TORRENSVILLE         ,12.0,616000.0
WEST TORRENS        ,UNDERDALE            ,10.0,560000.0
WEST TORRENS        ,WEST BEACH           ,19.0,770000.0
WEST TORRENS        ,WEST RICHMOND        ,2.0,363000.0
ADELAIDE,ADELAIDE,6.333333333333333,600000.0
ADELAIDE,NORTH ADELAIDE,5.0,1300000.0
ADELAIDE HILLS,ALDGATE,7.333333333333333,685000.0
ADELAIDE HILLS,BASKET RANGE,0.3333333333333333,0.0
ADELAIDE HILLS,BELAIR,17.0,550000.0
ADELAIDE HILLS,BRIDGEWATER,14.0,465000.0
ADELAIDE HILLS,CRAFERS,4.666666666666667,617500.0
ADELAIDE HILLS,CRAFERS WEST,4.333333333333333,537500.0
ADELAIDE HILLS,GREENHILL,2.3333333333333335,496000.0
ADELAIDE HILLS,HEATHFIELD,2.6666666666666665,675000.0
ADELAIDE HILLS,IRONBANK,0.3333333333333333,0.0
ADELAIDE HILLS,MYLOR,0.3333333333333333,0.0
ADELAIDE HILLS,NORTON SUMMIT,0.3333333333333333,0.0
